0,1,2,3,4,5,6,7,8,9
51189.3,114462.76,0.00028687788,7.55881e-05,0.0005118878,0.00031234644,427.1068,112.00446,779.9103,481.885
53209.9,118980.945,0.0001284797,9.735685e-05,0.0001472059,3.737296e-05,143.30788,27.073973,299.89664,238.26334
63526.45,142049.45,0.0001207552,4.8454676e-05,0.00016923147,9.173044e-05,53.53251,26.0,113.44161,69.86474
54649.3,122199.555,0.0002389281,4.3332486e-05,0.0005621949,0.00038860735,267.35455,43.965897,560.43195,417.6124
67947.6,151935.45,0.00020166679,1.1819722e-05,0.00036825243,0.00031541463,230.21333,30.805843,396.26758,260.58063
63025.4,140929.08,9.797003e-05,1.7804543e-05,0.0002153476,0.00014579561,86.65774,32.38827,184.20097,123.55868
63768.55,142590.81,0.00019509498,1.0300477e-05,0.000642047,0.00051870226,148.20741,30.016663,422.89597,322.7402
58251.55,130254.43,0.00020168006,2.3579478e-05,0.00030949558,0.0002197461,175.06973,70.327805,379.75912,240.69765
57768.85,129175.086,0.00011528695,9.339522e-06,0.00035437907,0.00027921272,100.764435,26.925823,214.00934,145.39294
50473.5,112862.18,0.00027432587,1.3435299e-05,0.0004828442,0.0003655519,223.68579,76.922035,285.3349,171.0342
53853.5,120420.086,5.3518772e-05,2.639647e-06,0.00011690824,8.398324e-05,134.2811,14.142136,449.3918,364.33
55524.05,124155.55,0.00015786687,2.608394e-05,0.00032292778,0.00021342465,116.50279,47.507893,189.0238,100.28658
58660.1,131167.97,0.00010380166,3.2088494e-05,0.00020896591,0.00014628482,39.523773,20.22375,66.48308,33.918797
52154.5,116621.01,0.00021927328,1.6170161e-05,0.00073808496,0.00060187175,175.044,22.135944,395.6008,296.92654
53500.3,119630.305,0.00013006879,5.2719697e-06,0.00036685096,0.0002871198,80.249435,34.655445,212.90608,153.19958
60941.15,136268.55,0.00021114311,2.7165788e-06,0.00041921443,0.00029457736,171.78357,70.34202,239.82703,138.41823
60669.05,135660.12,0.00039416604,0.00022431086,0.00061205303,0.00033738316,355.92035,340.47614,378.16003,27.565617
57474.1,128516.0,0.00013184769,1.580238e-05,0.0003132822,0.00023946118,121.833176,49.010204,250.92828,160.01474
64574.05,144391.97,0.00019150994,9.24542e-06,0.00040545876,0.0003120574,195.35622,157.54364,227.85303,59.049156
57639.6,128886.07,0.00012558354,2.6131764e-05,0.00026427952,0.00019421853,117.96407,42.201897,212.31345,150.55533
47867.35,107034.65,0.00018681718,3.231767e-05,0.0003712429,0.0002734489,98.11739,52.773098,178.6393,98.035225
41615.25,93054.53,0.00017006908,5.746888e-05,0.0002945872,0.00017699142,107.00611,36.496574,182.14828,122.44087
65930.75,147425.64,0.00031112877,2.1503876e-05,0.0006648741,0.00054867356,278.84265,154.26276,405.27768,182.89093
56676.95,126733.51,0.00016984913,1.5368516e-05,0.00032061772,0.00023399029,133.86282,69.354164,202.00247,96.76248
57551.8,128689.734,0.00029177268,5.1680254e-05,0.0004319821,0.00029455966,181.73447,109.0,238.9184,93.184395
44784.25,100140.63,0.00024359327,0.00015245135,0.00047135007,0.0002636763,156.41193,77.175125,286.20447,157.24258
52335.9,117026.625,0.00016585492,8.452451e-05,0.00031037806,0.00018365767,180.69485,64.327286,285.7009,158.63628
46537.95,104062.016,0.0002621052,8.057434e-05,0.00051667687,0.0003495526,168.82028,31.016125,248.27808,166.70587
51863.95,115971.31,0.00029152018,8.3751685e-05,0.00061561575,0.0003947079,203.07568,108.85311,315.7784,147.53331
50604.5,113155.1,0.00022551295,7.699571e-05,0.0005297221,0.0003662672,106.15844,39.115215,289.47192,212.15451
52472.55,117332.195,0.00021355676,0.000105210755,0.00034610182,0.00020415134,208.01003,56.435802,332.17465,211.96536
50401.2,112700.51,0.00014985485,2.784384e-05,0.00020157917,0.00014328439,101.57652,8.246211,144.83784,109.29248
54321.25,121466.01,0.00029505257,0.0001575582,0.00042008486,0.00018699514,188.5553,56.142673,285.1561,189.64333
